Sample,LFQ_Int_CP35491,LFQ_Int_CP10882,LFQ_Int_CN06567,LFQ_Int_CP16894,LFQ_Int_CP22324,LFQ_Int_CH10571,LFQ_Int_CN30310,LFQ_Int_CP19452,LFQ_Int_CM5736,LFQ_Int_CN14704,LFQ_Int_CN39836,LFQ_Int_CP28844,LFQ_Int_CP34310,LFQ_Int_CP34241,LFQ_Int_CP34736,LFQ_Int_CP21176,LFQ_Int_CP24232,LFQ_Int_CN29552,LFQ_Int_CN36290,LFQ_Int_CP23023,LFQ_Int_CN35769
Label,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade
Q9UJS0,19929500,105990000,31086000,16250000,23971000,15447000,2932400,28968000,5851200,32644000,36492000,6560825,1482150,15603150,12438000,67629000,8862900,39382000,31231000,24178000,34601000
Q9UKK3,10343000,70092000,13534000,18946000,127510000,3032100,7044200,8803250,298093420,3800600,22488000,5081600,31398838,10544650,1339200,27146000,6328800,14774000,13606000,10045000,68124000
Q9UKV3,26879350,240720000,74686000,102750000,56249000,41854000,15365000,1294800,9788512,22480000,67113000,11199364,5475367,10323000,10992694,265380000,48989000,269140000,35464000,80198000,44447000
Q9UKY7,16650200,257110000,128270000,124200000,75308000,11526000,19024000,44862000,19534900,23313000,204500000,2600410,132330,11286000,16057086,289700000,9776300,71631000,27760000,70316000,179870000
Q9UN37,34801000,382620000,36492000,57611000,30462367,10879000,31058000,11276000,31308078,36760000,13346000,12486950,3201740,22617290,31664000,80861000,8228700,177710000,25704000,56166000,17376000
Q9UQ35,11104000,117140000,10580000,20661000,12471000,14082000,4188000,11491722,48960000,19080000,4116600,10159500,31398838,14708000,13403000,86869000,18445688,48409000,5619200,23935000,8151000
Q9UQE7,19114550,231350000,39416000,36998000,15505000,20156000,18388000,18404000,10736000,32639000,32763000,5295700,373040,6531420,17357575,120190000,6214500,36651000,19427000,16688000,20892000
Q9Y224,27777140,234060000,114770000,70712000,100120000,87519000,43481000,56864000,11690000,63942000,145060000,4804942,12215550,25483356,21673290,326690000,58993000,152650000,75301000,89774000,132180000
Q9Y262,14608111,151600000,37888000,87168000,42283000,25842000,43726000,17959000,7429888,17953000,81697000,591050,8424655,18800857,17928762,154170000,23206000,102240000,77655000,29298000,46737000
Q9Y285,32360167,412130000,75452000,24748000,14669000,37734000,2783600,10093000,5531800,18757000,34758000,6873180,3061973,21380843,25285950,138870000,35151000,100870000,39540000,32508000,19516000
